Simulator, Ruleset, Y Dimension, X Dimension, Density, Mean frames simulated 
Sequential, Conway,10,10,0,5
Sequential, Conway,10,10,0.2,5
Sequential, Conway,10,10,0.4,4
Sequential, Conway,10,10,0.6,4
Sequential, Conway,10,10,0.8,3
Sequential, Conway,10,100,0,5
Sequential, Conway,10,100,0.2,5
Sequential, Conway,10,100,0.4,4
Sequential, Conway,10,100,0.6,4
Sequential, Conway,10,100,0.8,4
Sequential, Conway,100,10,0,5
Sequential, Conway,100,10,0.2,5
Sequential, Conway,100,10,0.4,4
Sequential, Conway,100,10,0.6,4
Sequential, Conway,100,10,0.8,4
Sequential, Conway,100,100,0,5
Sequential, Conway,100,100,0.2,5
Sequential, Conway,100,100,0.4,4
Sequential, Conway,100,100,0.6,4
Sequential, Conway,100,100,0.8,4
CPU Parallelised Horizontal, Conway,10,10,0,10
CPU Parallelised Horizontal, Conway,10,10,0.2,10
CPU Parallelised Horizontal, Conway,10,10,0.4,9
CPU Parallelised Horizontal, Conway,10,10,0.6,8
CPU Parallelised Horizontal, Conway,10,10,0.8,8
CPU Parallelised Horizontal, Conway,10,100,0,10
CPU Parallelised Horizontal, Conway,10,100,0.2,10
CPU Parallelised Horizontal, Conway,10,100,0.4,10
CPU Parallelised Horizontal, Conway,10,100,0.6,9
CPU Parallelised Horizontal, Conway,10,100,0.8,8
CPU Parallelised Horizontal, Conway,100,10,0,10
CPU Parallelised Horizontal, Conway,100,10,0.2,10
CPU Parallelised Horizontal, Conway,100,10,0.4,9
CPU Parallelised Horizontal, Conway,100,10,0.6,8
CPU Parallelised Horizontal, Conway,100,10,0.8,8
CPU Parallelised Horizontal, Conway,100,100,0,10
CPU Parallelised Horizontal, Conway,100,100,0.2,10
CPU Parallelised Horizontal, Conway,100,100,0.4,9
CPU Parallelised Horizontal, Conway,100,100,0.6,8
CPU Parallelised Horizontal, Conway,100,100,0.8,8
CPU Parallelised Vertical, Conway,10,10,0,11
CPU Parallelised Vertical, Conway,10,10,0.2,11
CPU Parallelised Vertical, Conway,10,10,0.4,9
CPU Parallelised Vertical, Conway,10,10,0.6,9
CPU Parallelised Vertical, Conway,10,10,0.8,8
CPU Parallelised Vertical, Conway,10,100,0,10
CPU Parallelised Vertical, Conway,10,100,0.2,10
CPU Parallelised Vertical, Conway,10,100,0.4,9
CPU Parallelised Vertical, Conway,10,100,0.6,8
CPU Parallelised Vertical, Conway,10,100,0.8,8
CPU Parallelised Vertical, Conway,100,10,0,10
CPU Parallelised Vertical, Conway,100,10,0.2,10
CPU Parallelised Vertical, Conway,100,10,0.4,10
CPU Parallelised Vertical, Conway,100,10,0.6,9
CPU Parallelised Vertical, Conway,100,10,0.8,8
CPU Parallelised Vertical, Conway,100,100,0,11
CPU Parallelised Vertical, Conway,100,100,0.2,10
CPU Parallelised Vertical, Conway,100,100,0.4,10
CPU Parallelised Vertical, Conway,100,100,0.6,8
CPU Parallelised Vertical, Conway,100,100,0.8,8
Sequential with pixel zoning, Conway,10,10,0,18
Sequential with pixel zoning, Conway,10,10,0.2,19
Sequential with pixel zoning, Conway,10,10,0.4,20
Sequential with pixel zoning, Conway,10,10,0.6,20
Sequential with pixel zoning, Conway,10,10,0.8,20
Sequential with pixel zoning, Conway,10,100,0,20
Sequential with pixel zoning, Conway,10,100,0.2,19
Sequential with pixel zoning, Conway,10,100,0.4,19
Sequential with pixel zoning, Conway,10,100,0.6,20
Sequential with pixel zoning, Conway,10,100,0.8,20
Sequential with pixel zoning, Conway,100,10,0,20
Sequential with pixel zoning, Conway,100,10,0.2,20
Sequential with pixel zoning, Conway,100,10,0.4,20
Sequential with pixel zoning, Conway,100,10,0.6,20
Sequential with pixel zoning, Conway,100,10,0.8,20
Sequential with pixel zoning, Conway,100,100,0,20
